Subject,Condition,Order,Start,k,Trial,x,Response,Reversal,RT
S54,simple,3,cerca,1,12,130,0,6,1.02225665700098
S54,simple,3,cerca,1,13,140,1,7,1.57937034300085
S54,simple,3,cerca,1,14,130,0,8,1.13884695399975
S54,simple,3,cerca,1,15,140,0,0,3.07151746999989
S54,simple,3,cerca,1,16,150,0,0,0.0784438090013282
S54,simple,3,cerca,1,17,160,1,9,0.956420939000964
S54,simple,3,cerca,1,18,150,1,0,0.929012558000977
S54,simple,3,cerca,1,19,140,0,10,2.38797600600083
S54,simple,3,cerca,1,20,150,1,11,1.0609134690003
S54,simple,3,cerca,1,21,140,1,0,1.63519560500026
S54,simple,3,cerca,1,22,130,1,0,1.90937515900077
S54,simple,3,cerca,1,23,120,0,12,0.805561268000019
S54,simple,4,cerca,1,1,20,1,0,0.84852870100076
S54,simple,4,cerca,1,2,20,0,1,1.08416282100006
S54,simple,4,cerca,1,3,40,0,0,1.0187096460013
S54,simple,4,cerca,1,4,60,0,0,0.887728155999866
S54,simple,4,cerca,1,5,80,0,0,0.817795384000419
S54,simple,4,cerca,1,6,100,0,0,1.03920371799904
S54,simple,4,cerca,1,7,120,0,0,2.49186616299994
S54,simple,4,cerca,1,8,140,0,0,1.93393912799911
S54,simple,4,cerca,1,9,160,1,2,1.0502330549989
S54,simple,4,cerca,1,10,140,1,0,3.61602340599893
S54,simple,4,cerca,1,11,130,0,3,1.38097663600092
S54,simple,4,cerca,1,12,140,1,4,0.0611306659993716
S54,simple,4,cerca,1,13,130,0,5,1.1450673319996
S54,simple,4,cerca,1,14,140,0,0,2.25681593499939
S54,simple,4,cerca,1,15,150,1,6,1.4961282080003
S54,simple,4,cerca,1,16,140,1,0,1.98347786900013
S54,simple,4,cerca,1,17,130,0,7,2.72857231400121
S54,simple,4,cerca,1,18,140,1,8,1.01210986900151
S54,simple,4,cerca,1,19,130,0,9,1.71883227099897
S54,simple,4,cerca,1,20,140,1,10,0.701769056999183
S54,simple,4,cerca,1,21,130,0,11,0.80367392900007
S54,simple,4,cerca,1,22,140,1,12,1.06080937200022
S55,simple,1,lejos,1,1,220,1,0,1.01152840400027
S55,simple,1,lejos,1,2,200,1,0,1.31416882399935
S55,simple,1,lejos,1,3,180,1,0,1.07377015200109
S55,simple,1,lejos,1,4,160,0,1,1.01932117300021
S55,simple,1,lejos,1,5,180,0,0,1.02428753799904
S55,simple,1,lejos,1,6,200,0,0,0.689243218999763
S55,simple,1,lejos,1,7,220,1,2,1.64914766099901
S55,simple,1,lejos,1,8,200,1,0,0.600258204001875
S55,simple,1,lejos,1,9,190,1,0,1.20447078000143
S55,simple,1,lejos,1,10,180,1,0,1.27910467600304
S55,simple,1,lejos,1,11,170,1,0,0.663066741002694
S55,simple,1,lejos,1,12,160,0,3,1.20964847199866
S55,simple,1,lejos,1,13,170,1,4,1.00630075300069
S55,simple,1,lejos,1,14,160,1,0,1.68299046500033
S55,simple,1,lejos,1,15,150,1,0,0.850415038999927
S55,simple,1,lejos,1,16,140,0,5,1.14629524100019
S55,simple,1,lejos,1,17,150,0,0,1.23214271799952
S55,simple,1,lejos,1,18,160,0,0,1.52754950800227
S55,simple,1,lejos,1,19,170,0,0,1.22736074800196
S55,simple,1,lejos,1,20,180,1,6,0.751139987998613
S55,simple,1,lejos,1,21,170,1,0,0.945886932000576
S55,simple,1,lejos,1,22,160,1,0,1.12596047099942
S55,simple,1,lejos,1,23,150,0,7,0.948217807002948
S55,simple,1,lejos,1,24,160,1,8,0.930459189999965
S55,simple,1,lejos,1,25,150,0,9,0.871083070000168
S55,simple,1,lejos,1,26,160,0,0,0.91267989699918
S55,simple,1,lejos,1,27,170,1,10,1.49533951999911
