Subject,Target,Distance,Trial,Response,RT
S14,6,92.1674996131094,31,0,1.1981798439997
S14,4,69.8124291010485,32,0,0.885035054999662
S14,7,105.901066548623,33,1,0.894152826000209
S14,4,69.8124291010485,34,0,0.805394703000275
S14,6,92.1674996131094,35,0,0.796505985000294
S14,1,46.0219657443318,36,0,0.760838286000308
S14,5,80.2149426987335,37,0,0.980471811000371
S14,6,92.1674996131094,38,1,1.1399260180001
S14,8,121.681025776038,39,0,0.876866337000138
S14,4,69.8124291010485,40,0,0.680254423999941
S14,5,80.2149426987335,41,0,1.00693215799993
S14,3,60.7589445683897,42,0,0.628120164999928
S14,8,121.681025776038,43,1,1.08980771699999
S14,7,105.901066548623,44,1,1.14903708499969
S14,2,52.8795429782462,45,0,0.71362159499995
S14,1,46.0219657443318,46,0,0.932333737000135
S14,8,121.681025776038,47,1,1.00971177699967
S14,3,60.7589445683897,48,0,0.855772003000311
S14,10,160.645261030852,49,1,0.897319277999941
S14,5,80.2149426987335,50,1,1.59736401600003
S14,5,80.2149426987335,51,1,1.06603074499981
S14,8,121.681025776038,52,1,1.3111713620001
S14,8,121.681025776038,53,1,0.956706735999887
S14,6,92.1674996131094,54,0,1.17797504100008
S14,6,92.1674996131094,55,0,1.11305236700036
S14,3,60.7589445683897,56,0,0.852936819999741
S14,2,52.8795429782462,57,0,0.762168559999736
S14,7,105.901066548623,58,1,1.23211837400004
S14,3,60.7589445683897,59,0,0.871776570999828
S14,7,105.901066548623,60,1,1.15208626599997
S14,8,121.681025776038,61,1,0.794308750999789
S14,10,160.645261030852,62,1,1.4613709539999
S14,4,69.8124291010485,63,0,0.809339009000269
S14,3,60.7589445683897,64,0,0.784761818000334
S14,3,60.7589445683897,65,0,1.02381275700009
S16,6,92.1674996131094,1,0,1.39980416000071
S16,6,92.1674996131094,2,0,1.87815605000014
S16,4,69.8124291010485,3,0,1.76566428499973
S16,1,46.0219657443318,4,0,1.47141157700025
S16,1,46.0219657443318,5,0,1.14732819600067
S16,8,121.681025776038,6,1,1.72565140900042
S16,5,80.2149426987335,7,0,1.19876184100031
S16,3,60.7589445683897,8,0,2.09551439400002
S16,2,52.8795429782462,9,0,1.278731935
S16,9,139.812303279409,10,1,1.41683834600008
S16,7,105.901066548623,11,1,2.60812540799998
S16,6,92.1674996131094,12,0,2.68110618500032
S16,3,60.7589445683897,13,0,0.860500005000176
S16,8,121.681025776038,14,1,2.73223350100034
