Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT
S70,dual,2,far,1,far,11,100,0,3,0.696170733004692
S70,dual,2,far,1,far,12,110,0,0,0.439342771001975
S70,dual,2,far,1,far,13,120,0,0,0.572772535000695
S70,dual,2,far,1,far,14,130,1,4,0.698822743004712
S70,dual,2,far,1,far,15,120,1,0,0.374513899994781
S70,dual,2,far,1,far,16,110,0,5,0.421025265000935
S70,dual,2,far,1,far,17,120,0,0,0.361932511004852
S70,dual,2,far,1,far,18,130,0,0,0.388449293001031
S70,dual,2,far,1,far,19,140,0,0,0.342576032999204
S70,dual,2,far,1,far,20,150,0,0,0.243040146997373
S70,dual,2,far,1,far,21,160,0,0,0.318889198999386
S70,dual,2,far,1,far,22,170,0,0,0.317539529998612
S70,dual,2,far,1,far,23,180,0,0,0.596938479000528
S70,dual,2,far,1,far,24,190,0,0,0.560827426998003
S70,dual,2,far,1,far,25,200,0,0,0.336055161998956
S70,dual,2,far,1,far,26,210,0,0,0.294741901001544
S70,dual,2,far,1,far,27,220,0,0,0.412581734999549
S70,dual,2,far,1,far,28,220,0,0,0.381153392001579
S70,dual,2,far,1,far,29,220,0,0,0.406794624002941
S70,dual,2,far,1,far,30,220,0,0,0.877325977999135
S70,dual,2,far,1,far,31,220,0,0,0.424661837001622
S70,dual,2,far,1,far,32,220,0,0,0.52039303699712
S70,dual,2,far,1,far,33,220,0,0,0.633994579002319
S70,dual,2,far,1,far,34,220,1,6,0.588254739996046
S70,dual,2,far,1,far,35,210,1,0,0.523393101997499
S70,dual,2,far,1,far,36,200,1,0,0.319565161997161
S70,dual,2,far,1,far,37,190,0,7,0.553971020999597
S70,dual,2,far,1,far,38,200,0,0,0.880437775005703
S70,dual,2,far,1,far,39,210,0,0,1.51204963499913
S70,dual,2,far,1,far,40,220,0,0,0.657343828999728
S70,dual,2,far,1,far,41,220,0,0,0.63771492500382
S70,dual,2,far,1,far,42,220,1,8,0.561113158000808
S70,dual,2,far,1,far,43,210,1,0,0.526019397999335
S70,dual,2,far,1,far,44,200,1,0,0.492985249999037
S70,dual,2,far,1,far,45,190,1,0,0.499948405005853
S70,dual,2,far,1,far,46,180,1,0,0.572892796000815
S70,dual,2,far,1,far,47,170,0,9,0.629532755003311
S70,dual,2,far,1,far,48,180,0,0,0.98769062700012
S70,dual,2,far,1,far,49,190,0,0,0.448482286999933
S70,dual,2,far,1,far,50,200,0,0,0.404398120997939
S70,dual,2,far,1,far,51,210,1,10,0.509592893002264
S70,dual,2,far,1,far,52,200,1,0,0.63091163700301
S70,dual,2,far,1,far,53,190,0,11,0.845229880003899
S70,dual,2,far,1,far,54,200,1,12,0.445258036997984
S70,dual,2,far,2,near,1,20,0,0,0.377204017997428
S70,dual,2,far,2,near,2,40,0,0,0.481585558001825
S70,dual,2,far,2,near,3,60,0,0,0.665971936999995
S70,dual,2,far,2,near,4,80,0,0,0.617006106003828
S70,dual,2,far,2,near,5,100,0,0,0.91113460699853
S70,dual,2,far,2,near,6,120,0,0,0.594641481999133
S70,dual,2,far,2,near,7,140,1,1,0.582527112994285
S70,dual,2,far,2,near,8,120,1,0,0.578235213004518
S70,dual,2,far,2,near,9,100,0,2,0.719459982996341
S70,dual,2,far,2,near,10,120,0,0,0.459018953995837
S70,dual,2,far,2,near,11,130,0,0,0.436360471001535
S70,dual,2,far,2,near,12,140,0,0,0.787092913997185
S70,dual,2,far,2,near,13,150,1,3,0.745124670997029
S70,dual,2,far,2,near,14,140,1,0,0.379564034003124
